cluster_no	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
1	5.263157894736842	7.894736842105263	3.9473684210526314	6.578947368421052	9.210526315789473	9.210526315789473	5.263157894736842	2.631578947368421	11.842105263157894	6.578947368421052	7.894736842105263	6.578947368421052	6.578947368421052	10.526315789473683	1.3157894736842104	5.263157894736842	11.842105263157894	9.210526315789473	6.578947368421052	10.526315789473683
2	7.142857142857142	5.714285714285714	2.857142857142857	4.285714285714286	5.714285714285714	1.4285714285714286	0	0	5.714285714285714	2.857142857142857	1.4285714285714286	2.857142857142857	2.857142857142857	7.142857142857142	0	0	4.285714285714286	0	4.285714285714286	5.714285714285714
3	5.084745762711865	6.779661016949152	6.779661016949152	6.779661016949152	11.864406779661017	15.254237288135593	6.779661016949152	6.779661016949152	8.47457627118644	10.16949152542373	8.47457627118644	15.254237288135593	6.779661016949152	8.47457627118644	6.779661016949152	6.779661016949152	3.389830508474576	5.084745762711865	1.694915254237288	10.16949152542373
4	6.521739130434782	6.521739130434782	6.521739130434782	10.869565217391305	8.695652173913043	17.391304347826086	4.3478260869565215	6.521739130434782	8.695652173913043	8.695652173913043	8.695652173913043	8.695652173913043	6.521739130434782	15.217391304347828	4.3478260869565215	4.3478260869565215	4.3478260869565215	6.521739130434782	8.695652173913043	6.521739130434782
5	2.2222222222222223	6.666666666666667	0	2.2222222222222223	2.2222222222222223	2.2222222222222223	2.2222222222222223	2.2222222222222223	4.444444444444445	4.444444444444445	0	2.2222222222222223	4.444444444444445	6.666666666666667	4.444444444444445	2.2222222222222223	2.2222222222222223	4.444444444444445	6.666666666666667	4.444444444444445
6	2.4390243902439024	9.75609756097561	2.4390243902439024	4.878048780487805	2.4390243902439024	2.4390243902439024	2.4390243902439024	2.4390243902439024	4.878048780487805	9.75609756097561	4.878048780487805	4.878048780487805	2.4390243902439024	7.317073170731707	2.4390243902439024	4.878048780487805	2.4390243902439024	7.317073170731707	2.4390243902439024	0
7	7.5	17.5	7.5	10	5	5	5	5	10	5	7.5	12.5	2.5	17.5	5	2.5	12.5	20	15	10
8	0	7.6923076923076925	7.6923076923076925	10.256410256410255	5.128205128205128	7.6923076923076925	5.128205128205128	7.6923076923076925	10.256410256410255	2.564102564102564	2.564102564102564	2.564102564102564	5.128205128205128	15.384615384615385	0	7.6923076923076925	5.128205128205128	7.6923076923076925	7.6923076923076925	12.82051282051282
9	0	0	0	0	2.631578947368421	2.631578947368421	2.631578947368421	2.631578947368421	2.631578947368421	0	0	2.631578947368421	0	2.631578947368421	2.631578947368421	2.631578947368421	0	2.631578947368421	0	2.631578947368421
10	0	2.7027027027027026	5.405405405405405	8.108108108108109	5.405405405405405	16.216216216216218	2.7027027027027026	5.405405405405405	2.7027027027027026	13.513513513513514	2.7027027027027026	8.108108108108109	2.7027027027027026	10.81081081081081	0	0	2.7027027027027026	10.81081081081081	5.405405405405405	8.108108108108109
11	0	0	0	2.7777777777777777	2.7777777777777777	5.555555555555555	0	0	0	5.555555555555555	0	0	0	11.11111111111111	0	0	8.333333333333332	8.333333333333332	2.7777777777777777	2.7777777777777777
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	5.555555555555555	0	11.11111111111111	11.11111111111111	5.555555555555555	8.333333333333332	0	2.7777777777777777	11.11111111111111	5.555555555555555	8.333333333333332	8.333333333333332	8.333333333333332	5.555555555555555	11.11111111111111	8.333333333333332	5.555555555555555	13.88888888888889	16.666666666666664	11.11111111111111
