Disease,Bat,Brain,Epi,Heart,Kidney,Liver,Lung,SKM,Spleen,SubQ
Intellectual Disability,1.84E-01,2.44E-06,3.34E-02,3.97E-02,7.20E-03,4.68E-01,3.92E-02,1.00E+00,2.16E-01,7.55E-02
Arthrogryposis,1.13E-04,2.30E-01,6.79E-01,1.15E-03,8.90E-01,1.81E-01,8.37E-02,3.57E-04,6.05E-02,1.31E-02
"Muscular Dystrophies, Limb-Girdle",2.58E-03,4.40E-01,7.58E-01,5.73E-05,8.90E-01,1.00E+00,3.37E-01,1.93E-05,2.39E-01,1.76E-02
Congenital muscular dystrophy (disorder),2.35E-01,4.85E-01,9.12E-02,1.56E-02,8.90E-01,1.00E+00,3.37E-01,9.43E-04,7.11E-01,1.76E-02
Epileptic encephalopathy,1.00E+00,5.28E-03,1.18E-01,3.75E-02,8.89E-01,3.95E-01,2.44E-01,1.00E+00,6.02E-02,3.94E-01
Mitochondrial Diseases,1.51E-04,3.47E-01,1.00E+00,4.38E-10,8.03E-01,3.39E-01,9.04E-01,1.13E-03,7.41E-01,1.00E+00
Hypertrophic Cardiomyopathy,1.00E+00,7.40E-01,1.00E+00,5.21E-04,8.90E-01,1.00E+00,1.54E-01,1.00E-01,7.51E-02,2.67E-01
Congenital myopathy (disorder),2.58E-03,3.47E-01,1.00E+00,3.88E-02,1.00E+00,1.00E+00,1.00E+00,3.18E-02,8.03E-01,7.63E-02
"Ataxias, Hereditary",7.25E-01,1.07E-05,8.12E-01,6.28E-01,7.50E-05,4.68E-01,3.37E-01,1.00E+00,1.00E+00,4.86E-01
"Cardiomyopathy, Dilated",2.07E-01,1.00E+00,1.00E+00,5.73E-05,1.00E+00,1.00E+00,2.44E-01,2.06E-01,8.03E-01,3.77E-02
Nephrotic Syndrome,1.00E+00,3.47E-01,3.24E-01,4.80E-01,5.62E-01,4.61E-01,2.84E-01,2.73E-01,1.00E+00,7.68E-01
X-Linked Emery-Dreifuss Muscular Dystrophy,6.00E-02,2.41E-01,8.12E-01,2.36E-01,8.90E-01,1.00E+00,3.08E-01,1.00E+00,6.43E-01,4.27E-01
Distal Muscular Dystrophies,2.05E-04,1.00E+00,1.00E+00,1.72E-02,1.00E+00,4.68E-01,7.94E-01,1.58E-03,1.00E+00,3.94E-01
Conduction disorder of the heart,2.40E-02,1.00E+00,1.00E+00,3.02E-03,1.00E+00,1.00E+00,2.89E-01,1.89E-01,1.00E+00,2.80E-01
"Osteoporosis, Age-Related",2.81E-01,1.00E+00,1.00E+00,4.80E-01,9.53E-01,3.39E-01,6.26E-01,3.65E-01,7.11E-01,1.16E-01
Osteoporosis,2.81E-01,1.00E+00,1.00E+00,4.80E-01,9.53E-01,3.39E-01,6.26E-01,3.65E-01,7.11E-01,1.16E-01
"Osteoporosis, Senile",2.81E-01,1.00E+00,1.00E+00,4.80E-01,9.53E-01,3.39E-01,6.26E-01,3.65E-01,7.11E-01,1.16E-01
Post-Traumatic Osteoporosis,2.81E-01,1.00E+00,1.00E+00,4.80E-01,9.53E-01,3.39E-01,6.26E-01,3.65E-01,7.11E-01,1.16E-01
HIV Infections,5.79E-01,1.00E+00,1.00E+00,9.10E-02,1.00E+00,7.74E-01,6.26E-01,2.06E-01,6.43E-01,5.31E-02
HIV Coinfection,5.79E-01,1.00E+00,1.00E+00,9.10E-02,1.00E+00,7.74E-01,6.26E-01,2.06E-01,6.43E-01,5.31E-02
Echinococcosis,1.00E+00,3.47E-01,8.12E-01,3.70E-01,8.90E-01,4.68E-01,3.37E-01,2.73E-01,1.00E+00,4.86E-01
"Kidney Failure, Acute",1.00E+00,3.47E-01,8.11E-01,2.36E-01,1.00E+00,4.68E-01,2.84E-01,1.00E+00,1.00E+00,1.76E-02
Acute Kidney Insufficiency,1.00E+00,3.47E-01,8.11E-01,2.36E-01,1.00E+00,4.68E-01,2.84E-01,1.00E+00,1.00E+00,1.76E-02
Acute kidney injury,1.00E+00,3.47E-01,8.11E-01,2.36E-01,1.00E+00,4.68E-01,2.84E-01,1.00E+00,1.00E+00,1.76E-02
Drug toxicity,1.00E+00,3.47E-01,8.12E-01,6.11E-01,8.90E-01,4.61E-01,2.44E-01,1.00E+00,1.00E+00,7.44E-02
Adverse reaction to drug,1.00E+00,3.47E-01,8.12E-01,6.11E-01,8.90E-01,4.61E-01,2.44E-01,1.00E+00,1.00E+00,7.44E-02
Pasteurellaceae Infections,1.00E+00,3.47E-01,8.12E-01,3.70E-01,1.00E+00,4.68E-01,3.37E-01,1.00E+00,7.11E-01,4.86E-01
Adenocarcinoma of lung (disorder),4.20E-01,1.00E+00,1.00E+00,3.88E-02,5.06E-01,1.00E+00,1.00E+00,1.00E+00,4.81E-01,1.86E-01
"Cardiomyopathy, Familial Idiopathic",5.79E-01,1.00E+00,9.95E-01,2.34E-02,1.00E+00,1.00E+00,2.84E-01,1.00E+00,7.15E-01,7.44E-02
Rhabdomyolysis,2.07E-01,1.00E+00,1.00E+00,3.97E-02,1.00E+00,1.00E+00,8.14E-01,9.70E-05,1.00E+00,6.53E-01
Charcot-Marie-Tooth Disease,1.00E+00,3.47E-01,1.00E+00,5.73E-05,8.90E-01,1.00E+00,5.19E-01,1.00E+00,8.57E-01,1.16E-01
Autosomal dominant late onset Parkinson disease,4.20E-01,3.47E-01,2.18E-01,1.00E+00,8.90E-01,1.00E+00,8.14E-01,1.00E+00,6.43E-01,4.27E-01
Hereditary spherocytosis,1.00E+00,3.47E-01,2.74E-01,9.22E-01,1.00E+00,4.68E-01,9.58E-01,1.00E+00,7.11E-01,1.06E-01
Scleroatonic muscular dystrophy,1.00E+00,1.00E+00,2.74E-01,4.80E-01,1.00E+00,1.00E+00,1.00E+00,3.65E-01,7.11E-01,1.06E-01
Bethlem myopathy,1.00E+00,1.00E+00,2.74E-01,4.80E-01,1.00E+00,1.00E+00,1.00E+00,3.65E-01,7.11E-01,1.06E-01
FG syndrome,4.89E-01,3.47E-01,8.12E-01,1.00E+00,1.00E+00,4.68E-01,3.37E-01,1.00E+00,1.00E+00,4.86E-01
FG SYNDROME 4 (disorder),4.89E-01,3.47E-01,8.12E-01,1.00E+00,1.00E+00,4.68E-01,3.37E-01,1.00E+00,1.00E+00,4.86E-01
FG SYNDROME 3,4.89E-01,3.47E-01,8.12E-01,1.00E+00,1.00E+00,4.68E-01,3.37E-01,1.00E+00,1.00E+00,4.86E-01
FG SYNDROME 2,4.89E-01,3.47E-01,8.12E-01,1.00E+00,1.00E+00,4.68E-01,3.37E-01,1.00E+00,1.00E+00,4.86E-01
"Anemia, hereditary spherocytic hemolytic",1.00E+00,7.40E-01,5.03E-01,6.11E-01,1.00E+00,1.00E+00,6.26E-01,5.13E-01,8.03E-01,1.92E-01
Deficiency Diseases,1.00E+00,3.47E-01,8.12E-01,1.00E+00,1.00E+00,4.68E-01,3.37E-01,1.00E+00,1.00E+00,4.86E-01
Degenerative polyarthritis,1.00E+00,1.00E+00,1.00E+00,6.45E-01,1.00E+00,1.00E+00,2.84E-01,5.13E-01,1.00E+00,3.88E-02
Osteoarthrosis Deformans,1.00E+00,1.00E+00,1.00E+00,6.45E-01,1.00E+00,1.00E+00,2.84E-01,5.13E-01,1.00E+00,3.88E-02
Hyperammonemia,1.00E+00,1.00E+00,1.00E+00,3.88E-02,1.00E+00,4.68E-01,9.64E-01,1.00E+00,6.43E-01,4.16E-01
"Muscular Dystrophy, Emery-Dreifuss",8.68E-01,3.47E-01,1.00E+00,6.11E-01,1.00E+00,1.00E+00,2.44E-01,1.00E+00,8.03E-01,7.05E-01
Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder),8.68E-01,3.47E-01,1.00E+00,6.11E-01,1.00E+00,1.00E+00,2.44E-01,1.00E+00,8.03E-01,7.05E-01
Autosomal Recessive Emery-Dreifuss Muscular Dystrophy,8.68E-01,3.47E-01,1.00E+00,6.11E-01,1.00E+00,1.00E+00,2.44E-01,1.00E+00,8.03E-01,7.05E-01
Inflammatory Myofibroblastic Tumor,3.12E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.61E-01,1.00E+00,1.00E+00,5.42E-01,2.80E-01
Paratuberculosis,1.00E+00,8.63E-01,1.18E-01,6.35E-01,1.00E+00,1.00E+00,7.09E-01,6.83E-01,1.00E+00,8.25E-01
Respiratory Tract Diseases,1.00E+00,8.63E-01,1.00E+00,1.00E+00,8.89E-01,1.00E+00,7.09E-01,1.00E-01,1.00E+00,2.80E-01
Weight Gain,1.00E+00,1.00E+00,9.12E-02,6.28E-01,7.84E-01,1.00E+00,1.00E+00,3.65E-01,1.00E+00,1.00E+00
"Dysfibrinogenemia, Congenital",1.00E+00,1.00E+00,8.12E-01,3.70E-01,8.90E-01,1.00E+00,3.37E-01,1.00E+00,1.00E+00,4.86E-01
"Hypodysfibrinogenemia, Congenital",1.00E+00,1.00E+00,8.12E-01,3.70E-01,8.90E-01,1.00E+00,3.37E-01,1.00E+00,1.00E+00,4.86E-01
Megacystis microcolon intestinal hypoperistalsis syndrome,1.41E-01,5.68E-01,1.00E+00,1.00E+00,5.06E-01,1.00E+00,1.00E+00,1.00E+00,7.11E-01,1.00E+00
"Myopathy, Centronuclear, Autosomal Recessive",1.00E+00,3.47E-01,1.00E+00,3.70E-01,1.00E+00,1.00E+00,1.00E+00,2.73E-01,1.00E+00,1.00E+00
Arrhythmogenic Right Ventricular Dysplasia,1.00E+00,3.47E-01,1.00E+00,4.12E-04,1.00E+00,1.00E+00,7.09E-01,1.00E+00,1.00E+00,9.36E-01
Hypertensive disease,1.00E+00,1.00E+00,3.24E-01,1.00E+00,1.00E+00,1.00E+00,5.99E-01,1.00E+00,1.00E+00,1.16E-01
Parkinson Disease,1.00E+00,3.47E-01,2.74E-01,5.46E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Marfan Syndrome,1.00E+00,7.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.44E-01,1.00E+00,1.00E+00,1.99E-01
Chromosomal Instability,1.00E+00,1.00E+00,1.00E+00,3.28E-01,1.00E+00,1.00E+00,9.58E-01,2.06E-01,7.11E-01,1.00E+00
"Elliptocytosis, Hereditary",1.00E+00,1.00E+00,1.00E+00,9.10E-02,1.00E+00,1.00E+00,6.26E-01,1.00E+00,8.03E-01,7.05E-01
Muscle Weakness,1.28E-02,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.39E-01,1.00E+00,1.00E+00
Leukodystrophy,1.00E+00,4.07E-01,1.00E+00,5.11E-03,8.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Toxic Epidermal Necrolysis,1.00E+00,1.00E+00,1.00E+00,3.70E-01,1.00E+00,1.00E+00,8.78E-01,1.00E+00,1.00E+00,5.82E-02
Drug-Induced Stevens Johnson Syndrome,1.00E+00,1.00E+00,1.00E+00,3.70E-01,1.00E+00,1.00E+00,8.78E-01,1.00E+00,1.00E+00,5.82E-02
Mycoplasma-Induced Stevens-Johnson Syndrome,1.00E+00,1.00E+00,1.00E+00,3.70E-01,1.00E+00,1.00E+00,8.78E-01,1.00E+00,1.00E+00,5.82E-02
Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum,1.00E+00,1.00E+00,1.00E+00,3.70E-01,1.00E+00,1.00E+00,8.78E-01,1.00E+00,1.00E+00,5.82E-02
Tumors of Adrenal Cortex,1.00E+00,1.00E+00,1.00E+00,3.70E-01,1.00E+00,4.68E-01,1.00E+00,1.00E+00,1.00E+00,4.86E-01
Malignant neoplasm of adrenal cortex,1.00E+00,1.00E+00,1.00E+00,3.70E-01,1.00E+00,4.68E-01,1.00E+00,1.00E+00,1.00E+00,4.86E-01
Afibrinogenemia,1.00E+00,1.00E+00,8.40E-01,4.80E-01,8.90E-01,1.00E+00,5.19E-01,1.00E+00,1.00E+00,6.53E-01
Congenital hypofibrinogenemia,1.00E+00,1.00E+00,8.40E-01,4.80E-01,8.90E-01,1.00E+00,5.19E-01,1.00E+00,1.00E+00,6.53E-01
Fibrinogen Deficiency,1.00E+00,1.00E+00,8.40E-01,4.80E-01,8.90E-01,1.00E+00,5.19E-01,1.00E+00,1.00E+00,6.53E-01
Stevens-Johnson Syndrome,1.00E+00,1.00E+00,1.00E+00,4.11E-01,1.00E+00,1.00E+00,9.55E-01,1.00E+00,1.00E+00,7.16E-02
Cerebellar Hypoplasia,1.00E+00,3.47E-01,1.00E+00,1.00E+00,5.06E-01,1.00E+00,6.26E-01,1.00E+00,1.00E+00,1.00E+00
"Glomerulonephritis, Membranoproliferative",1.00E+00,7.40E-01,1.00E+00,6.11E-01,1.00E+00,1.00E+00,6.26E-01,1.00E+00,8.03E-01,7.05E-01
"Membranoproliferative Glomerulonephritis, Type I",1.00E+00,8.63E-01,1.00E+00,6.35E-01,1.00E+00,1.00E+00,7.09E-01,1.00E+00,1.00E+00,2.80E-01
"Membranoproliferative Glomerulonephritis, Type III",1.00E+00,8.63E-01,1.00E+00,6.35E-01,1.00E+00,1.00E+00,7.09E-01,1.00E+00,1.00E+00,2.80E-01
Meningococcal Infections,1.00E+00,5.68E-01,8.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.06E-01
Cerebrovascular Disorders,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.88E-01,1.00E+00,1.00E+00,1.42E-01
Iron Overload,8.68E-01,7.40E-01,1.00E+00,6.11E-01,1.00E+00,1.00E+00,6.26E-01,1.00E+00,1.00E+00,7.05E-01
Familial dilated cardiomyopathy,6.78E-01,1.00E+00,1.00E+00,6.83E-01,1.00E+00,1.00E+00,1.00E+00,3.65E-01,1.00E+00,8.25E-01
Heart failure,7.70E-01,1.00E+00,8.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.88E-02
Congestive heart failure,7.70E-01,1.00E+00,8.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.88E-02
Left-Sided Heart Failure,7.70E-01,1.00E+00,8.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.88E-02
"Heart Failure, Right-Sided",7.70E-01,1.00E+00,8.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.88E-02
Myocardial Failure,7.70E-01,1.00E+00,8.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.88E-02
Heart Decompensation,7.70E-01,1.00E+00,8.40E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.88E-02
Microcephaly,1.00E+00,7.40E-01,8.40E-01,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,7.34E-01,1.00E+00
Hepatitis,1.00E+00,1.00E+00,1.00E+00,6.28E-01,1.00E+00,1.00E+00,1.00E+00,5.13E-01,1.00E+00,5.37E-01
Protein Deficiency,1.00E+00,3.47E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,1.00E+00,1.00E+00
Familial hematuria,1.00E+00,3.47E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,1.00E+00,1.00E+00
"Alport Syndrome, Autosomal Dominant",1.00E+00,3.47E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,1.00E+00,1.00E+00
"Alport Syndrome, Autosomal Recessive",1.00E+00,3.47E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,1.00E+00,1.00E+00
Disease Exacerbation,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.68E-01,7.44E-01,1.00E+00,7.11E-01,7.68E-01
Sudden Cardiac Death,1.00E+00,1.00E+00,1.00E+00,6.35E-01,1.00E+00,1.00E+00,2.84E-01,1.00E+00,1.00E+00,8.25E-01
Myocardial Ischemia,1.00E+00,1.00E+00,1.00E+00,3.28E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.30E-01,6.08E-01
Carcinoma of bladder,1.00E+00,5.68E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.44E-01,1.00E+00,1.00E+00,1.00E+00
Neurodevelopmental Disorders,1.00E+00,3.47E-01,1.00E+00,1.00E+00,8.04E-01,1.00E+00,1.00E+00,1.00E+00,7.11E-01,1.00E+00
Diabetic Nephropathy,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.00E-01,1.00E+00,1.00E+00,4.86E-01
Nodular glomerulosclerosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.00E-01,1.00E+00,1.00E+00,4.86E-01
melanoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.09E-01,1.00E+00,2.11E-01,1.00E+00
Sudden Cardiac Arrest,1.00E+00,1.00E+00,1.00E+00,6.11E-01,1.00E+00,1.00E+00,6.26E-01,1.00E+00,1.00E+00,7.05E-01
Ovarian Serous Adenocarcinoma,1.00E+00,3.47E-01,1.00E+00,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,7.11E-01,1.00E+00
Transient Ischemic Attack,5.83E-01,1.00E+00,8.40E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.53E-01
Posterior Circulation Transient Ischemic Attack,5.83E-01,1.00E+00,8.40E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.53E-01
Carotid Circulation Transient Ischemic Attack,5.83E-01,1.00E+00,8.40E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.53E-01
"Transient Ischemic Attack, Vertebrobasilar Circulation",5.83E-01,1.00E+00,8.40E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.53E-01
Crescendo Transient Ischemic Attacks,5.83E-01,1.00E+00,8.40E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.53E-01
"Brain Stem Ischemia, Transient",5.83E-01,1.00E+00,8.40E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.53E-01
Transient Cerebral Ischemia,5.83E-01,1.00E+00,8.40E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.53E-01
"Transient Ischemic Attack, Anterior Circulation",5.83E-01,1.00E+00,8.40E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.53E-01
"Membranoproliferative Glomerulonephritis, Type II",1.00E+00,8.63E-01,1.00E+00,6.35E-01,1.00E+00,1.00E+00,7.09E-01,1.00E+00,1.00E+00,8.25E-01
"Angioedemas, Hereditary",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.37E-01,1.00E+00,7.11E-01,1.00E+00
"EPIDERMOLYSIS BULLOSA SIMPLEX, AUTOSOMAL RECESSIVE (disorder)",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.31E-02
Profound Mental Retardation,1.00E+00,7.60E-01,6.79E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,7.34E-01,1.00E+00
"Mental Retardation, Psychosocial",1.00E+00,7.60E-01,6.79E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,7.34E-01,1.00E+00
Mental deficiency,1.00E+00,7.60E-01,6.79E-01,1.00E+00,8.90E-01,1.00E+00,1.00E+00,1.00E+00,7.34E-01,1.00E+00
Brain Ischemia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,3.65E-01,1.00E+00,7.15E-01
