Disease,Bat,Brain,Epi,Heart,Kidney,Liver,Lung,SKM,Spleen,SubQ
Mitochondrial Diseases,5.35E-07,1.00E+00,1.00E+00,3.87E-07,2.66E-02,1.65E-01,1.00E+00,2.40E-04,1.00E+00,1.00E+00
Arthrogryposis,2.60E-05,9.21E-01,9.02E-01,3.19E-04,6.29E-01,1.00E-01,2.34E-01,6.11E-04,1.84E-01,2.98E-04
"Muscular Dystrophies, Limb-Girdle",2.28E-04,1.00E+00,3.79E-01,4.94E-04,1.00E+00,6.68E-01,5.44E-02,1.42E-02,3.80E-01,6.37E-02
Congenital muscular dystrophy (disorder),2.35E-04,1.00E+00,1.89E-01,2.16E-04,1.00E+00,3.25E-01,1.30E-01,1.54E-02,4.28E-01,1.59E-01
Rhabdomyolysis,3.68E-04,1.00E+00,1.00E+00,3.32E-01,7.61E-01,1.00E+00,5.43E-01,1.20E-02,6.08E-01,1.00E-03
Weight Gain,4.48E-03,6.31E-01,1.00E+00,9.35E-01,1.00E+00,6.68E-01,5.18E-02,1.00E+00,1.00E+00,4.64E-01
Distal Muscular Dystrophies,9.91E-03,1.00E+00,1.00E+00,1.81E-02,1.00E+00,1.00E+00,6.50E-01,2.22E-02,6.11E-01,9.39E-03
Congenital myopathy (disorder),1.24E-02,1.00E+00,1.00E+00,6.04E-03,1.00E+00,1.00E+00,9.28E-01,3.97E-03,1.00E+00,5.13E-02
"Cardiomyopathy, Dilated",1.47E-02,1.00E+00,3.79E-01,3.19E-04,1.00E+00,1.00E+00,2.19E-01,1.33E-01,8.28E-01,8.00E-01
Hypertrophic Cardiomyopathy,2.05E-02,1.00E+00,1.00E+00,2.80E-04,9.48E-01,1.00E+00,1.05E-01,3.30E-01,1.00E+00,1.59E-01
Muscle Weakness,2.68E-02,1.00E+00,1.00E+00,2.99E-01,1.00E+00,1.00E+00,1.00E+00,9.55E-01,1.00E+00,2.82E-01
Disease Exacerbation,4.41E-02,1.00E+00,3.79E-01,6.61E-01,1.00E+00,1.00E-01,2.34E-01,9.87E-01,9.06E-01,5.80E-01
Paratuberculosis,4.63E-02,1.00E+00,2.13E-01,1.16E-01,6.29E-01,1.80E-01,1.42E-01,5.22E-01,8.28E-01,5.27E-01
Hyperammonemia,4.63E-02,1.00E+00,8.80E-01,1.00E+00,6.34E-01,1.00E+00,1.00E+00,3.30E-01,6.67E-01,3.50E-01
Intellectual Disability,4.92E-02,2.86E-03,1.89E-01,9.35E-01,5.88E-04,6.74E-01,1.30E-01,1.30E-02,1.84E-01,1.00E-03
Leukodystrophy,4.92E-02,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.60E-01,1.00E+00,1.00E+00,1.00E+00
Charcot-Marie-Tooth Disease,1.09E-01,1.87E-01,5.26E-01,6.04E-02,1.00E+00,1.00E+00,1.66E-01,7.65E-01,4.42E-01,5.01E-01
Ketotic hypoglycemia,1.09E-01,1.00E+00,1.00E+00,1.00E+00,7.41E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.67E-01
"Osteoporosis, Age-Related",1.20E-01,1.00E+00,1.00E+00,1.86E-02,8.54E-01,1.00E+00,2.19E-01,4.80E-01,9.76E-01,9.23E-01
Osteoporosis,1.20E-01,1.00E+00,1.00E+00,1.86E-02,8.54E-01,1.00E+00,2.19E-01,4.80E-01,9.76E-01,9.23E-01
"Osteoporosis, Senile",1.20E-01,1.00E+00,1.00E+00,1.86E-02,8.54E-01,1.00E+00,2.19E-01,4.80E-01,9.76E-01,9.23E-01
Post-Traumatic Osteoporosis,1.20E-01,1.00E+00,1.00E+00,1.86E-02,8.54E-01,1.00E+00,2.19E-01,4.80E-01,9.76E-01,9.23E-01
Conduction disorder of the heart,1.20E-01,1.00E+00,1.00E+00,1.56E-02,1.00E+00,1.00E+00,5.43E-01,9.77E-01,1.00E+00,7.56E-01
Meningococcal Infections,1.21E-01,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
Cardiovascular Diseases,1.71E-01,6.31E-01,7.18E-01,5.37E-01,1.00E+00,1.00E+00,3.91E-02,8.17E-01,1.00E+00,1.00E+00
"Cardiomyopathy, Familial Idiopathic",2.39E-01,1.00E+00,2.59E-01,1.86E-02,1.00E+00,1.00E+00,3.43E-01,3.41E-01,1.00E+00,1.00E+00
Degenerative polyarthritis,2.66E-01,1.00E+00,1.00E+00,9.29E-02,1.00E+00,1.00E+00,8.75E-01,1.70E-01,1.00E+00,9.01E-01
Osteoarthrosis Deformans,2.66E-01,1.00E+00,1.00E+00,9.29E-02,1.00E+00,1.00E+00,8.75E-01,1.70E-01,1.00E+00,9.01E-01
Antibody Deficiency Syndrome,2.66E-01,1.00E+00,2.59E-01,6.61E-01,1.00E+00,1.00E+00,4.69E-01,1.00E+00,1.00E+00,1.00E+00
Immunologic Deficiency Syndromes,2.66E-01,1.00E+00,2.59E-01,6.61E-01,1.00E+00,1.00E+00,4.69E-01,1.00E+00,1.00E+00,1.00E+00
Heart failure,2.66E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,4.89E-01,7.84E-01,1.00E+00
Congestive heart failure,2.66E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,4.89E-01,7.84E-01,1.00E+00
Left-Sided Heart Failure,2.66E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,4.89E-01,7.84E-01,1.00E+00
"Heart Failure, Right-Sided",2.66E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,4.89E-01,7.84E-01,1.00E+00
Myocardial Failure,2.66E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,4.89E-01,7.84E-01,1.00E+00
Heart Decompensation,2.66E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,4.89E-01,7.84E-01,1.00E+00
Drug toxicity,3.02E-01,1.00E+00,4.60E-01,1.81E-02,2.46E-02,3.65E-02,4.69E-01,2.82E-01,3.17E-01,5.78E-01
Adverse reaction to drug,3.02E-01,1.00E+00,4.60E-01,1.81E-02,2.46E-02,3.65E-02,4.69E-01,2.82E-01,3.17E-01,5.78E-01
Adenocarcinoma of lung (disorder),4.11E-01,6.31E-01,2.59E-01,5.61E-01,1.00E+00,1.00E+00,3.91E-02,1.00E+00,1.20E-01,1.19E-01
Heart Diseases,4.11E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.32E-01,1.00E+00
Epileptic encephalopathy,4.99E-01,9.03E-04,9.38E-01,4.35E-01,2.04E-02,4.61E-01,2.19E-01,2.82E-01,5.26E-01,1.59E-01
Echinococcosis,4.99E-01,6.31E-01,7.18E-01,2.99E-01,7.61E-01,4.61E-01,4.69E-01,2.60E-01,4.42E-01,5.78E-01
Autosomal dominant late onset Parkinson disease,4.99E-01,6.31E-01,7.18E-01,6.61E-01,6.70E-02,1.00E+00,5.18E-02,1.00E+00,1.84E-01,5.78E-01
Hereditary spherocytosis,4.99E-01,1.00E+00,2.64E-01,2.66E-01,1.00E+00,1.00E+00,5.76E-01,8.06E-01,1.84E-01,5.94E-01
Deficiency Diseases,4.99E-01,1.00E+00,7.18E-01,1.00E+00,7.61E-01,4.61E-01,4.69E-01,1.00E+00,4.42E-01,8.52E-02
Pasteurellaceae Infections,4.99E-01,1.00E+00,7.18E-01,2.99E-01,7.61E-01,1.00E+00,4.69E-01,1.00E+00,4.42E-01,5.78E-01
Parkinson Disease,4.99E-01,6.31E-01,1.00E+00,5.02E-01,2.46E-02,1.00E+00,5.40E-01,1.00E+00,1.00E+00,7.56E-01
Abruptio Placentae,4.99E-01,1.00E+00,1.00E+00,2.99E-01,7.61E-01,1.00E+00,1.00E+00,1.00E+00,4.42E-01,5.78E-01
"Myopathy, Centronuclear, Autosomal Recessive",4.99E-01,1.00E+00,1.00E+00,2.99E-01,1.00E+00,1.00E+00,1.00E+00,2.60E-01,1.00E+00,5.78E-01
"Dysfibrinogenemia, Congenital",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,4.42E-01,5.78E-01
"Hypodysfibrinogenemia, Congenital",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,4.42E-01,5.78E-01
Cadmium poisoning,4.99E-01,6.31E-01,7.18E-01,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,1.00E+00,1.00E+00
No-Reflow Phenomenon,4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.42E-01,5.78E-01
Brain Ischemia,4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.28E-01,1.00E+00,1.00E+00,1.00E+00
Cerebral Ischemia,4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.28E-01,1.00E+00,1.00E+00,1.00E+00
X-Linked Emery-Dreifuss Muscular Dystrophy,4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.69E-01,1.00E+00,9.31E-01,1.00E+00
Muscular Atrophy,4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.28E-01,5.80E-01
Neurogenic Muscular Atrophy,4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.28E-01,5.80E-01
"Melanoma, B16",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.42E-01,1.00E+00
"Melanoma, Cloudman S91",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.42E-01,1.00E+00
"Melanoma, Harding-Passey",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.42E-01,1.00E+00
"Melanoma, Experimental",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.42E-01,1.00E+00
"Maple Syrup Urine Disease, Type IA",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
"MAPLE SYRUP URINE DISEASE, TYPE II",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
"Maple syrup urine disease, type 1B",4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Tumors of Adrenal Cortex,4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Malignant neoplasm of adrenal cortex,4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Familial partial lipodystrophy,4.99E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
