Cluster Number	GeneID	Symbol	
1	9465	AKAP7	
1	79650	C16orf57	
1	25980	C20orf4	
1	6936	C2orf3	
1	253635	CCDC75	
1	90324	CCDC97	
1	10421	CD2BP2	
1	9416	DDX23	
1	9909	DENND4B	
1	55837	EAPP	
1	9343	EFTUD2	
1	55783	FTSJD1	
1	94104	GCFC1	
1	27336	HTATSF1	
1	57456	KIAA1143	
1	100130932	LOC100130932	
1	27257	LSM1	
1	84967	LSM10	
1	134353	LSM11	
1	57819	LSM2	
1	25804	LSM4	
1	23658	LSM5	
1	11157	LSM6	
1	51690	LSM7	
1	56257	MEPCE	
1	122830	NAA30	
1	51691	NAA38	
1	4809	NHP2L1	
1	10081	PDCD7	
1	79706	PRKRIP1	
1	27339	PRPF19	
1	9129	PRPF3	
1	26121	PRPF31	
1	9128	PRPF4	
1	24148	PRPF6	
1	10594	PRPF8	
1	8241	RBM10	
1	84991	RBM17	
1	55599	RNPC3	
1	51319	RSRC1	
1	9092	SART1	
1	8175	SF3A2	
1	23451	SF3B1	
1	51639	SF3B14	
1	10992	SF3B2	
1	23450	SF3B3	
1	10262	SF3B4	
1	83443	SF3B5	
1	84138	SLC7A6OS	
1	23020	SNRNP200	
1	11066	SNRNP35	
1	9410	SNRNP40	
1	154007	SNRNP48	
1	6626	SNRPA	
1	6627	SNRPA1	
1	6628	SNRPB	
1	6629	SNRPB2	
1	6631	SNRPC	
1	6632	SNRPD1	
1	6633	SNRPD2	
1	6634	SNRPD3	
1	6635	SNRPE	
1	6636	SNRPF	
1	6637	SNRPG	
1	6638	SNRPN	
1	10073	SNUPN	
1	25949	SYF2	
1	24144	TFIP11	
1	96764	TGS1	
1	114034	TOE1	
1	10078	TSSC4	
1	64852	TUT1	
1	10907	TXNL4A	
1	55954	ZMAT5	
1	741	ZNHIT2	
1	8233	ZRSR2	
2	5926	ARID4A	
2	51742	ARID4B	
2	84159	ARID5B	
2	57597	BAHCC1	
2	22893	BAHD1	
2	53335	BCL11A	
2	222389	BEND7	
2	25855	BRMS1	
2	84312	BRMS1L	
2	56946	C11orf30	
2	25770	C22orf31	
2	64925	CCDC71	
2	8099	CDK2AP1	
2	9425	CDYL	
2	1107	CHD3	
2	1108	CHD4	
2	26038	CHD5	
2	79901	CYBRD1	
2	58516	FAM60A	
2	57798	GATAD1	
2	54815	GATAD2A	
2	57459	GATAD2B	
2	3065	HDAC1	
2	3066	HDAC2	
2	10363	HMG20A	
2	10362	HMG20B	
2	3621	ING1	
2	3622	ING2	
2	5927	KDM5A	
2	23199	KIAA0182	
2	8932	MBD2	
2	53615	MBD3	
2	85509	MBD3L1	
2	57708	MIER1	
2	54531	MIER2	
2	166968	MIER3	
2	4335	MNT	
2	9112	MTA1	
2	9219	MTA2	
2	57504	MTA3	
2	4084	MXD1	
2	83463	MXD3	
2	57649	PHF12	
2	51105	PHF20L1	
2	51317	PHF21A	
2	112885	PHF21B	
2	79142	PHF23	
2	5928	RBBP4	
2	5931	RBBP7	
2	283248	RCOR2	
2	79595	SAP130	
2	8819	SAP30	
2	79685	SAP30L	
2	51460	SFMBT1	
2	25942	SIN3A	
2	23309	SIN3B	
2	8467	SMARCA5	
2	64426	SUDS3	
2	6941	TCF19	
2	84629	TNRC18	
2	55809	TRERF1	
2	140685	ZBTB46	
2	51222	ZNF219	
2	23090	ZNF423	
2	57473	ZNF512B	
2	25925	ZNF521	
2	57507	ZNF608	
2	619279	ZNF704	
2	168850	ZNF800	
2	79149	ZSCAN5A	
3	115416	C7orf30	
3	90480	GADD45GIP1	
3	3396	ICT1	
3	78988	MRP63	
3	65008	MRPL1	
3	124995	MRPL10	
3	65003	MRPL11	
3	6182	MRPL12	
3	28998	MRPL13	
3	64928	MRPL14	
3	29088	MRPL15	
3	54948	MRPL16	
3	63875	MRPL17	
3	29074	MRPL18	
3	9801	MRPL19	
3	51069	MRPL2	
3	55052	MRPL20	
3	29093	MRPL22	
3	6150	MRPL23	
3	79590	MRPL24	
3	51264	MRPL27	
3	10573	MRPL28	
3	11222	MRPL3	
3	51263	MRPL30	
3	64983	MRPL32	
3	9553	MRPL33	
3	51318	MRPL35	
3	51253	MRPL37	
3	54148	MRPL39	
3	51073	MRPL4	
3	64976	MRPL40	
3	64975	MRPL41	
3	28977	MRPL42	
3	84545	MRPL43	
3	65080	MRPL44	
3	84311	MRPL45	
3	26589	MRPL46	
3	57129	MRPL47	
3	51642	MRPL48	
3	740	MRPL49	
3	54534	MRPL50	
3	51258	MRPL51	
3	122704	MRPL52	
3	116540	MRPL53	
3	128308	MRPL55	
3	65005	MRPL9	
3	55168	MRPS18A	
3	10884	MRPS30	
3	27303	RBMS3	
3	5962	RDX	
3	6137	RPL13	
3	6202	RPS8	
3	9984	THOC1	
3	57187	THOC2	
3	84321	THOC3	
3	8563	THOC5	
3	79228	THOC6	
3	80145	THOC7	
3	57693	ZNF317	
4	116236	ABHD15	
4	27	ABL2	
4	9531	BAG3	
4	9529	BAG5	
4	339457	C1orf222	
4	140680	C20orf96	
4	64771	C6orf106	
4	138162	C9orf116	
4	726	CAPN5	
4	150275	CCDC117	
4	645121	CCNI2	
4	50489	CD207	
4	51265	CDKL3	
4	84809	CROCCP2	
4	10281	DSCR4	
4	1997	ELF1	
4	2038	EPB42	
4	84895	FAM73B	
4	115352	FCRL3	
4	83957	FKSG43	
4	2296	FOXC1	
4	83786	FRMD8	
4	2712	GK2	
4	2830	GPR6	
4	3297	HSF1	
4	3298	HSF2	
4	3306	HSPA2	
4	3308	HSPA4	
4	3310	HSPA6	
4	3312	HSPA8	
4	23640	HSPBP1	
4	3354	HTR1E	
4	169522	KCNV2	
4	55132	LARP1B	
4	151194	METTL21A	
4	22854	NTNG1	
4	10745	PHTF1	
4	150379	PNPLA5	
4	5475	PPEF1	
4	10963	STIP1	
4	10273	STUB1	
4	55773	TBC1D23	
4	8557	TCAP	
4	51078	THAP4	
4	55039	TRMT12	
4	148014	TTC9B	
5	27350	APOBEC3C	
5	9790	BMS1	
5	65265	C8orf33	
5	51755	CDK12	
5	8531	CSDA	
5	10664	CTCF	
5	10969	EBNA1BP2	
5	29997	GLTSCR2	
5	11103	KRR1	
5	10199	MPHOSPH10	
5	4691	NCL	
5	79159	NOL12	
5	5155	PDGFB	
5	5813	PURA	
5	5814	PURB	
5	23521	RPL13A	
5	6139	RPL17	
5	6147	RPL23A	
5	6155	RPL27	
5	6157	RPL27A	
5	6159	RPL29	
5	6160	RPL31	
5	6164	RPL34	
5	11224	RPL35	
5	6165	RPL35A	
5	6130	RPL7A	
5	6132	RPL8	
5	6175	RPLP0	
5	6176	RPLP1	
5	6181	RPLP2	
5	6204	RPS10	
5	6206	RPS12	
5	6207	RPS13	
5	6218	RPS17	
5	6222	RPS18	
5	6223	RPS19	
5	6224	RPS20	
5	6229	RPS24	
5	6230	RPS25	
5	6234	RPS28	
5	6193	RPS5	
5	6203	RPS9	
5	23212	RRS1	
5	6430	SRSF5	
5	4904	YBX1	
6	52	ACP1	
6	59	ACTA2	
6	60	ACTB	
6	345651	ACTBL2	
6	70	ACTC1	
6	173	AFM	
6	257169	C9orf43	
6	10487	CAP1	
6	10486	CAP2	
6	91057	CCDC34	
6	63933	CCDC90A	
6	60492	CCDC90B	
6	8558	CDK10	
6	1072	CFL1	
6	1595	CYP51A1	
6	1666	DECR1	
6	11221	DUSP10	
6	80303	EFHD1	
6	84085	FBXO30	
6	55030	FBXO34	
6	2934	GSN	
6	3982	LIM2	
6	55222	LRRC20	
6	440738	MAP1LC3C	
6	4646	MYO6	
6	56901	NDUFA4L2	
6	55998	NXF5	
6	5429	POLH	
6	653269	POTEI	
6	84152	PPP1R1B	
6	9232	PTTG1	
6	5068	REG3A	
6	6279	S100A8	
6	84690	SPATA22	
6	6715	SRD5A1	
6	54434	SSH1	
6	7068	THRB	
6	29767	TMOD2	
6	11344	TWF2	
6	78992	YIPF2	
6	163059	ZNF433	
7	9582	APOBEC3B	
7	140564	APOBEC3D	
7	200316	APOBEC3F	
7	11189	CELF3	
7	60680	CELF5	
7	1993	ELAVL2	
7	1995	ELAVL3	
7	23196	FAM120A	
7	23708	GSPT2	
7	3183	HNRNPC	
7	3191	HNRNPL	
7	10236	HNRNPR	
7	9987	HNRPDL	
7	10642	IGF2BP1	
7	10644	IGF2BP2	
7	3608	ILF2	
7	3609	ILF3	
7	23367	LARP1	
7	51631	LUC7L2	
7	9782	MATR3	
7	23608	MKRN1	
7	7682	MKRN4P	
7	26986	PABPC1	
7	8761	PABPC4	
7	132430	PABPC4L	
7	400961	PAIP2B	
7	9698	PUM1	
7	23369	PUM2	
7	22913	RALY	
7	138046	RALYL	
7	6294	SAFB	
7	55342	STRBP	
7	29896	TRA2A	
7	6434	TRA2B	
7	6738	TROVE2	
7	91746	YTHDC1	
7	9877	ZC3H11A	
7	85364	ZCCHC3	
7	51663	ZFR	
7	284695	ZNF326	
8	5243	ABCB1	
8	4363	ABCC1	
8	214	ALCAM	
8	79572	ATP13A3	
8	967	CD63	
8	1184	CLCN5	
8	1464	CSPG4	
8	1889	ECE1	
8	2219	FCN1	
8	2220	FCN2	
8	3672	ITGA1	
8	3673	ITGA2	
8	57670	KIAA1549	
8	284217	LAMA1	
8	3910	LAMA4	
8	3912	LAMB1	
8	3958	LGALS3	
8	3964	LGALS8	
8	3965	LGALS9	
8	284194	LGALS9B	
8	654346	LGALS9C	
8	4162	MCAM	
8	28962	OSTM1	
8	55872	PBK	
8	5738	PTGFRN	
8	5795	PTPRJ	
8	5803	PTPRZ1	
8	64121	RRAGC	
8	221935	SDK1	
8	26470	SEZ6L2	
8	6558	SLC12A2	
8	6560	SLC12A4	
8	9990	SLC12A6	
8	10723	SLC12A7	
8	26503	SLC17A5	
8	206358	SLC36A1	
8	84888	SPPL2A	
8	26032	SUSD5	
8	130827	TMEM182	
9	202	AIM1	
9	5987	TRIM27	
9	10155	TRIM28	
9	56658	TRIM39	
9	7771	ZFP112	
9	7567	ZNF19	
9	7748	ZNF195	
9	10308	ZNF267	
9	10793	ZNF273	
9	10782	ZNF274	
9	7576	ZNF28	
9	90075	ZNF30	
9	162967	ZNF320	
9	7581	ZNF33A	
9	7582	ZNF33B	
9	6940	ZNF354A	
9	79744	ZNF419	
9	9668	ZNF432	
9	10794	ZNF460	
9	126231	ZNF573	
9	92285	ZNF585B	
9	152687	ZNF595	
9	90317	ZNF616	
9	253639	ZNF620	
9	285268	ZNF621	
9	26149	ZNF658	
9	55762	ZNF701	
9	7562	ZNF708	
9	124411	ZNF720	
9	170960	ZNF721	
9	654254	ZNF732	
9	148203	ZNF738	
9	90321	ZNF766	
9	58492	ZNF77	
9	374899	ZNF829	
9	7637	ZNF84	
9	91664	ZNF845	
9	7639	ZNF85	
10	4299	AFF1	
10	3899	AFF3	
10	27125	AFF4	
10	51329	ARL6IP4	
10	6046	BRD2	
10	79012	CAMKV	
10	904	CCNT1	
10	905	CCNT2	
10	1025	CDK9	
10	80205	CHD9	
10	79961	DENND2D	
10	22982	DIP2C	
10	55840	EAF2	
10	8178	ELL	
10	22936	ELL2	
10	2037	EPB41L2	
10	171482	FAM9A	
10	55677	IWS1	
10	23189	KANK1	
10	4192	MDK	
10	51320	MEX3C	
10	4298	MLLT1	
10	4300	MLLT3	
10	92345	NAF1	
10	4795	NFKBIL1	
10	94103	ORMDL3	
10	5305	PIP4K2A	
10	8396	PIP4K2B	
10	79837	PIP4K2C	
10	113026	PLCD3	
10	80223	RAB11FIP1	
10	23168	RTF1	
10	25957	SFRS18	
10	81848	SPRY4	
10	55437	STRADB	
10	6949	TCOF1	
10	57217	TTC7A	
11	332	BIRC5	
11	892	CCNC	
11	23097	CDK19	
11	1024	CDK8	
11	5469	MED1	
11	84246	MED10	
11	400569	MED11	
11	9968	MED12	
11	116931	MED12L	
11	9969	MED13	
11	23389	MED13L	
11	9282	MED14	
11	51586	MED15	
11	10025	MED16	
11	9440	MED17	
11	54797	MED18	
11	219541	MED19	
11	9477	MED20	
11	9412	MED21	
11	6837	MED22	
11	9439	MED23	
11	9862	MED24	
11	81857	MED25	
11	9441	MED26	
11	9442	MED27	
11	80306	MED28	
11	55588	MED29	
11	90390	MED30	
11	51003	MED31	
11	29079	MED4	
11	10001	MED6	
11	9443	MED7	
11	112950	MED8	
11	55090	MED9	
11	9970	NR1I3	
11	9623	TCL1B	
12	7593	MZF1	
12	84547	PGBD1	
12	267002	PGBD2	
12	51282	SCAND1	
12	114821	SCAND3	
12	7586	ZKSCAN1	
12	80317	ZKSCAN3	
12	387032	ZKSCAN4	
12	23660	ZKSCAN5	
12	7727	ZNF174	
12	7566	ZNF18	
12	7745	ZNF192	
12	10168	ZNF197	
12	7760	ZNF213	
12	7762	ZNF215	
12	7775	ZNF232	
12	7572	ZNF24	
12	84124	ZNF394	
12	252884	ZNF396	
12	84307	ZNF397	
12	54925	ZNF434	
12	55311	ZNF444	
12	353274	ZNF445	
12	55663	ZNF446	
12	203523	ZNF449	
