Cluster.Number	GeneID	Symbol	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
1	9465	AKAP7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	79650	C16orf57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	25980	C20orf4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	6936	C2orf3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	253635	CCDC75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	90324	CCDC97	NA	NA	NA	NA	6.459324268734551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	10421	CD2BP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	9416	DDX23	21.621363685111156	26.297393138493675	11.875576984747934	58.48776822241312	26.524168508305632	15.564018471607213	7.21511843075736	15.573264103556287	3.306317528692799	29.141478864235655	21.178438431577938	2.6490594041870814	12.381222402282882	26.48998720879075	16.523967487475403	20.91545186996543	17.70954678193082	29.523047264828243	NA	28.59365121
1	9909	DENND4B	NA	NA	NA	8.911772393886173	26.012725734416385	NA	NA	53.117503099439546	NA	NA	NA	NA	NA	25.63691591166758	NA	NA	15.722923110821645	13.928448580822524	34.03557277022229	28.83150723
1	55837	EAPP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
