cluster_no	bat_old	bat_young	brain_old	brain_young	epi_old	epi_young	heart_old	heart_young	kidney_old	kidney_young	liver_old	liver_young	lung_old	lung_young	skm_old	skm_young	spleen_old	spleen_young	subQ_old	subQ_young
1	0.3464297801868701	0.23441499677873676	0.6777144010510877	0.397220870294579	0.15158905435266226	0.2474396106410782	0.19875341014218084	0.5829043846230969	0.0321804381251493	0.28544050214952704	0.07894107118301934	0.1764811598390335	0.17231509505048614	0.34491588586980776	0.6103865800931827	0.08594501070134947	0.0155448545539995	0.17388128576719689	0.4229598496117446	0.1940786660368159
2	0.14593033131825675	0.4950191100689534	0.8005197502427368	0.6962840671980295	0.5349123559347377	0.9779967583606851	0.9467946169947863	0.941211108592781	0.5217549762418033	0.7862550921117687	0.8656312941598356	0.6845787520918667	0.6796033006912298	0.7109884571323959	0.8526816841758678	0.8904145147897761	0.6182095355911214	0.9945531144943971	0.7170182527145221	0.7206663492893753
3	0.3550456692745495	0.3496135583145914	0.27965754884421046	0.3584929640714806	0.04825459445945696	0.015874094259148024	0.09230264459925668	0.08260367285152756	0.21039676247543868	0.05555763375515043	0.06852735337768556	5.864175761329266e-4	0.1654558383970946	0.5432518664681771	0.020683225531384387	0.03524701644753078	0.700887540661316	0.6166588897410195	0.9200535512201046	0.23235051191640918
4	0.20622620072680728	0.36107288900391454	0.29788194870255275	0.08350943845457966	0.20872974609684658	0.008655709640372752	0.28999788862909703	0.1069999883053899	0.20056628986413896	0.12973624634408268	0.07374488978279037	0.07691580514973718	0.1909092533742957	0.08221580533293475	0.1256028141869235	0.16968657950060284	0.532094777312667	0.41921714900695217	0.20565474741974846	0.5568953052296342
5	0.6768658365870619	0.3457278263412218	0.9388986604219549	0.8124106105186442	0.826985804931857	0.8798519319828568	0.5544550025149716	0.5358426591872907	0.5988291324713755	0.4957394719656455	0.8972013405254231	0.6634835088131814	0.3852040310701019	0.6692925679234417	0.11965139489741618	0.40830160480937894	0.7652399550808586	0.6333649373503609	0.37294702976842053	0.7484415516140479
6	0.6263760058083883	0.13077099629922428	0.7151611674988378	0.52193596121418	0.785244301718152	0.8447552211997423	0.5040605878100608	0.485894017257251	0.5346561654309352	0.08942198237895167	0.3276080880646406	0.3346739399793668	0.6085787850923517	0.59485985522889	0.3021888151235813	0.13280222557415333	0.7184151626590743	0.33622918993763257	0.7826443740571815	0.9739948274782512
7	0.14513500780871383	0.004007614856683236	0.21743572335739889	0.12526901825907916	0.5277272877658783	0.6202998322974206	0.22331955218794353	0.20899501740744728	0.1325798467663101	0.4182306663381866	0.1317030603053406	0.01337149060181425	0.5950107557287718	0.04084824812396575	0.09160763367642566	0.35272062203755294	0.031497083532515686	0.0016796395208229908	0.017699091815123736	0.24993222851838726
8	0.8709239154433541	0.2548381966874382	0.204630205579839	0.11556588270949021	0.5104048345653709	0.3693730680780357	0.2125025215800666	0.06651983872090703	0.12242324977072817	0.6752525558255871	0.5783025937223712	0.5852576789441706	0.30294076396541797	0.08778991627833826	0.6552485183131835	0.03158301378823206	0.4220831584316851	0.3030568090313397	0.277650669497887	0.10896141338129552
9	0.8639495748745228	0.9258021562458705	0.9055183305590324	0.9280178702280921	0.7483590805812257	0.8125784298613526	0.4639291432734113	0.44631500733142804	0.7409392893518216	0.8996580212667811	0.8534280995436015	0.5709862226205575	0.8548754322609103	0.9042522360570885	0.27210981310763194	0.3299672734410678	0.9069305150162796	0.766143386407885	0.9332790563127856	0.845503567770993
10	0.8565993552113054	0.7117430274578219	0.3851525359803668	0.2316139562196766	0.4747938773345014	0.023426582559674884	0.45013313069379224	0.1785048252040126	0.7273590951722438	0.019327858572934557	0.5494430851457288	0.11012395958915303	0.552219423324185	0.3069470462450379	0.6358510411252348	0.6884704386811258	0.6639819616488638	0.12094142839595443	0.47115425316664483	0.38617635510102566
